CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,SUBSCRIPTION DURATION,AVERAGE SUBSCRIPTION DURATION
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2638,365,44774.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1481,365,45016.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1154,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1452,365,44774.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2153,365,44894.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2039,365,44894.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1651,365,44774.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2374,365,44894.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1296,365,45016.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1928,365,45139.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1958,365,45016.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1005,365,44774.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1807,365,45139.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1806,366,45260
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2863,365,44894.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2131,365,44774.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2631,366,45260
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2379,366,45260
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1359,365,45016.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2298,365,44894.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1728,365,44774.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1556,366,45260
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2919,365,45139.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,1238,365,44894.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2996,365,44894.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2258,366,45260
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1057,365,45016.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1667,366,45260
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2258,365,45016.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2798,365,45016.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1077,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1409,365,44774.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2275,365,45139.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1194,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2113,365,44774.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2823,365,45139.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1308,366,45260
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2281,365,44774.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2262,366,45260
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,1095,365,44894.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1829,365,44774.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,1166,365,44894.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1353,365,44774.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2052,365,44894.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2633,365,44894.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1745,366,45260
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1265,365,45139.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2921,366,45260
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2919,365,45016.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1480,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1644,365,44774.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1959,365,45016.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2183,365,45139.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1759,365,44774.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2810,365,45139.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2171,365,44774.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1222,366,45260
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2203,365,45016.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,1271,365,44894.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1457,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2251,365,44774.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2446,366,45260
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1779,365,45139.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2313,365,44774.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2292,365,44894.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2050,365,45139.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1791,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1870,365,44774.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1518,365,45016.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1534,365,44774.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2738,366,45260
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2698,365,44894.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2865,365,45139.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2190,366,45260
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1885,365,45139.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2348,365,44894.5
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1268,366,45260
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,1829,365,44894.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1846,365,45016.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1752,365,45139.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2318,365,44774.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1255,365,44774.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2680,365,45139.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2963,365,44894.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,1545,365,44894.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2689,365,45016.5
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2299,365,44774.5
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2579,365,45139.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2522,365,45016.5
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1460,365,45016.5
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2808,365,44894.5
